Location,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Seats,Price_INR_Lakhs,Mileage_km_kg,Power_bhp,Car_Age
Coimbatore,48367,Diesel,Automatic,First,5,3958000.0,17.68,174.33,1
Delhi,57000,Diesel,Manual,First,5,550000.0,22.7,89.84,6
Delhi,58000,Diesel,Manual,First,7,810000.0,15.1,140.0,5
Kolkata,30000,Diesel,Manual,First,5,350000.0,25.8,98.6,4
Kolkata,34212,Diesel,Manual,First,5,279000.0,22.07,73.9,6
Ahmedabad,70002,Diesel,Manual,First,5,345000.0,16.2,110.0,9
Bangalore,62000,Petrol,Manual,First,5,445000.0,18.9,67.1,3
Delhi,62001,Petrol,Manual,First,5,265000.0,15.26,103.5,9
Pune,78958,Diesel,Manual,Second,5,380000.0,23.0,90.0,8
Mumbai,30180,Petrol,Manual,First,5,465000.00000000006,18.5,82.85,5
Pune,32851,Petrol,Manual,First,7,395000.0,19.83,67.0,2
Kolkata,30000,Diesel,Automatic,First,5,980000.0,14.94,241.4,9
Pune,66000,Petrol,Manual,Second,5,270000.0,17.0,80.0,10
Coimbatore,93850,Petrol,Manual,First,5,241000.0,14.0,35.0,9
Ahmedabad,53000,Petrol,Manual,First,5,390000.0,17.71,78.9,5
Hyderabad,78000,Diesel,Automatic,Second,5,2400000.0,14.74,270.9,8
Delhi,65000,Diesel,Manual,Second,7,575000.0,16.0,140.0,7
Kolkata,40000,Diesel,Automatic,First,5,525000.0,22.32,126.32,5
Mumbai,30000,Diesel,Automatic,First,7,1925000.0,11.36,171.5,2
Coimbatore,38053,Petrol,Manual,First,5,391000.0,15.1,73.0,2
Bangalore,25500,Petrol,Manual,First,4,215000.0,25.4,37.5,5
Mumbai,56087,Diesel,Automatic,First,5,2075000.0,22.69,190.0,4
Delhi,71088,Petrol,Manual,First,5,335000.0,13.5,130.0,9
Ahmedabad,55000,Diesel,Manual,First,7,1111000.0,12.99,100.6,5
Bangalore,32700,Diesel,Automatic,First,5,2000000.0,23.3,150.0,5
Coimbatore,39882,Petrol,Automatic,First,5,655000.0,19.15,75.94,3
Mumbai,128000,Petrol,Automatic,First,5,700000.0,10.8,215.0,10
Mumbai,55000,Diesel,Manual,First,5,750000.0,24.3,88.5,3
Pune,53753,Diesel,Automatic,Second,5,1675000.0,15.0,107.3,5
Kolkata,10250,Diesel,Manual,First,5,1095000.0,22.0,126.2,1
Pune,43874,Petrol,Manual,First,5,245000.00000000003,18.9,67.1,8
Coimbatore,32684,Petrol,Automatic,First,4,323000.0,21.9,37.48,2
Kolkata,42000,Diesel,Manual,First,8,775000.0,12.05,120.0,5
Kolkata,28352,Petrol,Automatic,First,5,935000.0,11.7,178.0,10
Pune,89900,CNG,Manual,First,5,325000.0,26.6,58.16,6
Bangalore,47700,Petrol,Manual,Second,5,525000.0,10.8,152.0,12
Pune,55000,Diesel,Automatic,First,5,725000.0,21.21,103.2,4
Kochi,44285,Petrol,Manual,First,5,747000.0,20.73,91.1,2
Jaipur,54000,Diesel,Automatic,First,7,1325000.0,16.0,140.0,3
Coimbatore,30232,Petrol,Manual,First,5,581000.0,21.1,85.8,3
Hyderabad,88500,Petrol,Manual,First,5,260000.0,24.07,67.1,5
Kolkata,13372,Petrol,Automatic,First,2,5400000.0,19.0,362.07,2
Kochi,12645,Petrol,Automatic,First,5,1150000.0,17.0,121.3,0
Chennai,94385,Petrol,Manual,Second,5,160000.0,19.7,46.3,9
Coimbatore,31821,Diesel,Automatic,First,5,1722000.0,20.58,143.0,4
Mumbai,12000,Petrol,Automatic,First,5,600000.0,19.0,88.7,4
Delhi,88578,Petrol,Manual,First,5,395000.0,13.5,130.0,7
Kochi,44965,Diesel,Automatic,First,5,1795000.0,19.27,170.0,5
Kolkata,45044,Diesel,Manual,First,5,370000.0,25.8,98.6,5
Kochi,34204,Petrol,Manual,First,5,543000.0,22.0,81.8,3
Coimbatore,91235,Diesel,Manual,First,7,1349000.0,11.5,171.0,7
Pune,38800,Petrol,Manual,First,5,285000.0,18.6,76.8,5
Chennai,83000,Diesel,Manual,First,5,475000.0,21.14,103.52,6
Kochi,41283,Petrol,Manual,First,5,990000.0,20.73,91.1,1
Mumbai,23000,Petrol,Automatic,First,4,3700000.0,11.05,444.0,6
Mumbai,48000,Diesel,Automatic,First,5,2650000.0,21.76,190.0,5
Coimbatore,48214,Diesel,Automatic,First,5,2332000.0,17.11,174.33,4
Chennai,35000,Diesel,Manual,First,5,625000.0,22.9,74.0,3
Kolkata,35277,Petrol,Automatic,First,5,3000000.0,7.81,362.9,9
Coimbatore,54620,Diesel,Automatic,First,5,986000.0,21.66,103.52,3
Pune,136997,Diesel,Automatic,First,5,850000.0,17.2,138.1,7
Kochi,14322,Petrol,Manual,First,5,423000.00000000006,21.1,55.2,0
Jaipur,65634,Diesel,Manual,First,5,350000.0,22.07,73.9,7
Kolkata,6000,Petrol,Manual,First,5,250000.0,20.63,67.06,3
Kolkata,33280,Petrol,Manual,First,5,239000.0,19.4,86.8,6
Delhi,29000,Petrol,Automatic,First,5,1125000.0,14.8,120.7,6
Kochi,42831,Diesel,Manual,First,5,711000.0,26.0,98.6,4
Ahmedabad,90000,Diesel,Manual,First,7,1090000.0,12.99,100.6,3
Ahmedabad,24005,Petrol,Manual,First,5,620000.0,20.4,81.8,2
Mumbai,32792,Diesel,Manual,First,7,790000.0,15.1,140.0,7
Kochi,147898,Diesel,Manual,First,5,442000.0,22.7,89.84,5
Mumbai,131765,Diesel,Manual,First,7,1350000.0,13.0,168.5,7
Chennai,65000,Diesel,Automatic,First,5,625000.0,21.5,108.5,6
Jaipur,66123,Diesel,Manual,Second,5,210000.0,20.0,68.0,9
Mumbai,41000,Diesel,Automatic,First,5,4500000.0,15.3,258.0,4
Coimbatore,23550,Diesel,Automatic,First,5,3365999.9999999995,19.27,167.62,2
Bangalore,45000,Petrol,Manual,Second,5,365000.0,19.4,86.8,7
Delhi,60000,Petrol,Manual,First,5,275000.0,20.36,78.9,6
Bangalore,44414,Diesel,Automatic,First,5,4250000.0,17.9,170.0,3
Kolkata,1000,Petrol,Manual,First,5,650000.0,18.9,81.86,0
Mumbai,62500,Diesel,Automatic,Second,5,1900000.0,17.68,174.33,7
Mumbai,21000,Petrol,Automatic,Second,5,445000.0,14.4,103.6,6
Jaipur,8525,Diesel,Automatic,Second,5,2300000.0,16.6,112.0,2
Bangalore,29000,Diesel,Manual,First,5,835000.0,22.54,88.73,5
Mumbai,40000,Diesel,Automatic,First,5,2295000.0,17.68,174.33,5
Jaipur,88000,Diesel,Manual,First,5,150000.0,25.44,57.6,7
Kochi,53537,Petrol,Automatic,First,5,689000.0,13.7,157.75,7
Chennai,216000,Diesel,Manual,Second,5,145000.0,17.8,68.0,13
Hyderabad,51000,Diesel,Automatic,First,5,3350000.0,22.48,190.0,5
Jaipur,118500,Petrol,Manual,First,5,125000.0,12.9,102.5,12
Hyderabad,63000,Diesel,Manual,First,5,420000.0,22.07,73.9,7
Mumbai,25000,Diesel,Manual,First,8,675000.0,19.98,108.5,4
Bangalore,37382,Diesel,Automatic,First,5,3200000.0,13.0,201.1,5
Kochi,24773,Petrol,Manual,First,5,750000.0,21.4,83.1,2
Delhi,62000,Diesel,Manual,First,5,460000.0,22.32,126.32,7
Kochi,52340,Petrol,Manual,First,5,404000.0,19.81,68.05,2
Kochi,56739,Diesel,Manual,First,7,1031000.0,15.4,120.0,3
Coimbatore,36091,Diesel,Automatic,First,5,5576000.0,12.7,187.7,1
Chennai,120000,Diesel,Manual,First,5,260000.0,20.0,68.0,9
Mumbai,33000,Diesel,Manual,First,7,850000.0,25.47,88.5,3
Kolkata,52000,Diesel,Manual,First,5,350000.0,25.8,98.6,5
Jaipur,43571,Petrol,Manual,First,5,355000.0,20.36,78.9,4
Kolkata,50000,Diesel,Manual,First,5,325000.0,25.8,98.6,6
Hyderabad,113000,Diesel,Manual,First,5,450000.0,17.5,106.0,11
Delhi,90000,Diesel,Manual,First,5,535000.0,19.87,83.8,5
Chennai,29000,Diesel,Manual,Second,7,650000.0,17.45,100.0,2
Mumbai,20000,Diesel,Manual,First,5,900000.0,24.3,88.5,3
Kochi,61012,Petrol,Manual,First,5,600000.0,18.6,81.83,3
Jaipur,87459,Petrol,Manual,First,5,275000.0,14.7,85.0,10
Pune,70500,Petrol,Manual,First,5,150000.0,15.64,64.1,9
Delhi,64103,Diesel,Automatic,First,5,1990000.0,15.73,174.33,4
Mumbai,76000,Petrol,Automatic,First,5,1000000.0,14.7,177.5,5
Delhi,104000,Diesel,Manual,First,5,300000.0,23.59,67.06,5
Kochi,37245,Petrol,Automatic,First,5,1196000.0,14.8,120.7,5
Kolkata,45000,Diesel,Manual,First,5,325000.0,27.4,98.6,6
Jaipur,117837,Diesel,Manual,Second,5,475000.0,22.32,126.32,7
Mumbai,30000,Diesel,Manual,First,5,595000.0,20.46,83.8,5
Delhi,27057,Petrol,Manual,Second,5,815000.0,15.29,121.3,4
Mumbai,8500,Petrol,Automatic,First,5,422000.0,20.51,67.0,3
Kolkata,30500,Petrol,Automatic,First,5,1050000.0,11.74,186.0,9
Delhi,56000,Diesel,Automatic,First,5,4500000.0,11.8,246.7,7
Pune,44000,Petrol,Manual,Second,5,290000.0,19.81,68.05,7
Mumbai,10500,Petrol,Automatic,First,5,890000.0,14.3,103.52,2
Hyderabad,26000,Petrol,Automatic,First,5,2600000.0,14.67,177.46,2
Coimbatore,25166,Petrol,Manual,First,5,822000.0000000001,17.19,81.86,1
Kolkata,64000,Diesel,Manual,Second,5,350000.0,25.8,98.6,5
Chennai,61000,Petrol,Manual,Second,5,125000.0,18.9,67.1,15
Hyderabad,107000,Diesel,Manual,First,5,370000.0,21.03,65.0,6
Coimbatore,29161,Diesel,Automatic,First,5,3941000.0,19.27,167.62,1
Kolkata,32000,Petrol,Manual,First,5,265000.0,22.5,67.04,6
Coimbatore,46173,Diesel,Manual,Second,5,892000.0,19.01,108.5,4
Kochi,26327,Petrol,Automatic,First,4,3567000.0,16.82,189.08,2
Bangalore,70436,Diesel,Manual,First,5,360000.0,0.0,99.0,4
Jaipur,200000,Diesel,Manual,Second,5,85000.0,17.2,53.5,12
Kochi,60813,Petrol,Manual,Second,5,332000.0,18.6,76.8,3
Mumbai,45000,Diesel,Manual,First,5,360000.0,22.07,73.9,7
Hyderabad,64000,Diesel,Manual,First,5,680000.0,22.9,74.0,3
Kolkata,41284,Diesel,Manual,First,5,250000.0,20.0,68.05,7
Kochi,14165,Diesel,Automatic,First,7,1964000.0,11.36,171.5,0
Mumbai,67000,Diesel,Automatic,Second,7,700000.0,11.72,194.3,8
Kolkata,32572,Petrol,Manual,First,5,387000.0,17.4,117.3,8
Kochi,14960,Petrol,Manual,First,5,627000.0,18.6,81.83,1
Kochi,55980,Diesel,Automatic,First,5,1812000.0,19.27,167.62,4
Mumbai,74000,Diesel,Manual,First,5,265000.0,25.44,57.6,6
Kochi,56847,Diesel,Manual,First,5,720000.0,22.54,88.73,4
Coimbatore,121374,Diesel,Manual,First,7,1430000.0,12.99,100.6,4
Chennai,52000,Diesel,Manual,First,7,690000.0,20.77,88.76,6
Mumbai,118000,Diesel,Manual,First,7,1075000.0,12.8,102.0,5
Kochi,33915,Petrol,Manual,First,5,809000.0,17.8,117.3,3
Ahmedabad,82002,Diesel,Automatic,First,5,1850000.0,17.05,184.0,5
Mumbai,33000,Diesel,Manual,First,5,475000.0,24.0,70.0,2
Chennai,34000,Diesel,Manual,First,5,844999.9999999999,28.09,88.5,3
Kolkata,55000,Diesel,Manual,First,5,350000.0,20.5,103.6,7
Kochi,160538,Diesel,Manual,First,5,180000.0,13.1,82.0,13
Jaipur,60000,Diesel,Manual,Second,5,370000.0,19.91,103.6,5
Coimbatore,49575,Petrol,Manual,First,5,717000.0,18.7,88.7,2
Jaipur,83000,Petrol,Manual,First,5,175000.0,19.81,68.05,9
Kochi,51346,Diesel,Automatic,First,5,2199000.0,16.38,183.0,1
Pune,43000,Diesel,Manual,First,7,1865000.0,13.68,147.8,2
Jaipur,35000,Petrol,Manual,Third,5,185000.0,19.7,35.0,8
Coimbatore,27872,Petrol,Manual,Second,5,595000.0,20.4,81.8,2
Mumbai,16514,Petrol,Manual,First,5,375000.0,18.9,82.0,5
Pune,120000,Diesel,Manual,First,5,375000.0,22.9,74.0,7
Hyderabad,143275,Diesel,Manual,First,5,260000.0,22.0,126.2,11
Mumbai,52000,Petrol,Manual,First,5,280000.0,17.0,80.0,9
Coimbatore,29819,Diesel,Automatic,First,5,6129000.0,11.57,254.79,2
Bangalore,57000,Diesel,Manual,Second,5,1800000.0,15.8,170.0,5
Hyderabad,88500,Diesel,Manual,First,5,435000.0,23.2,73.94,5
Bangalore,28000,Diesel,Manual,First,5,1375000.0,19.67,126.2,3
Pune,67000,Petrol,Manual,First,5,200000.0,19.0,66.1,9
Delhi,26000,Diesel,Manual,First,5,1000000.0,19.64,108.45,3
Delhi,120000,Diesel,Manual,First,5,165000.0,17.8,76.0,9
Coimbatore,51982,Diesel,Automatic,First,5,4577000.0,16.55,258.0,2
Bangalore,36000,Petrol,Manual,Second,5,325000.0,20.36,78.9,9
Pune,47000,Diesel,Manual,First,7,1280000.0,12.8,102.0,3
Mumbai,60000,Petrol,Manual,Third,5,55000.00000000001,17.3,60.0,17
Hyderabad,31025,Diesel,Manual,First,5,715000.0,28.4,74.0,1
Pune,105000,Diesel,Manual,Second,8,700000.0,12.05,120.0,6
Pune,121900,Diesel,Manual,First,5,375000.0,22.95,74.0,2
Mumbai,22695,Petrol,Manual,First,5,850000.0,18.88,123.24,2
Jaipur,73000,Diesel,Manual,First,5,435000.0,23.4,74.0,7
Kochi,32227,Petrol,Manual,First,5,326000.0,22.74,47.3,3
Jaipur,55000,Petrol,Manual,First,5,421000.0,17.0,118.0,8
Kochi,11287,Diesel,Automatic,First,7,7036000.0,12.07,241.4,1
Mumbai,48000,Diesel,Automatic,Second,5,295000.0,17.0,105.0,10
Kochi,54308,Petrol,Manual,First,5,428000.0,17.1,121.3,7
Jaipur,78442,Petrol,Automatic,First,5,357000.0,16.8,118.0,10
Kolkata,46000,Diesel,Manual,First,5,311000.0,21.9,88.8,6
Coimbatore,45051,Petrol,Automatic,First,5,596000.0,15.0,98.6,5
Hyderabad,69000,Diesel,Manual,First,5,470000.0,20.54,103.6,8
Ahmedabad,49000,Petrol,Manual,First,5,690000.0,17.4,117.3,5
Pune,45000,Diesel,Manual,First,5,525000.0,22.95,74.0,1
Pune,64000,Diesel,Automatic,First,5,2800000.0,18.48,177.0,4
Delhi,60000,Petrol,Manual,First,5,135000.0,18.9,67.0,10
Delhi,62178,Petrol,Manual,First,5,485000.0,18.2,88.7,4
Coimbatore,58006,Diesel,Manual,First,5,670000.0,15.0,105.0,7
Hyderabad,74000,Petrol,Manual,First,5,310000.0,20.36,78.9,9
Kochi,77771,Diesel,Automatic,First,5,1864000.0,19.27,170.0,4
Pune,45275,Petrol,Manual,First,5,280000.0,20.36,78.9,7
Chennai,48000,Diesel,Manual,First,7,2025000.0,13.68,147.8,3
Kochi,31652,Diesel,Automatic,First,5,2678000.0,17.68,174.33,4
Hyderabad,109000,Diesel,Manual,Second,7,826000.0,12.99,100.6,9
Mumbai,31978,Petrol,Manual,First,5,389000.0,16.47,73.9,4
Hyderabad,70000,Petrol,Manual,First,5,210000.0,20.92,67.1,8
Mumbai,15000,Petrol,Automatic,First,5,1269000.0,18.0,117.3,2
Coimbatore,59138,Diesel,Manual,First,5,258000.0,17.0,70.0,6
Kochi,61726,Diesel,Automatic,First,5,2077000.0,17.68,174.33,5
Delhi,48000,Diesel,Automatic,First,5,2026000.0,17.9,136.0,4
Hyderabad,77815,Petrol,Automatic,First,5,425000.0,23.1,67.04,5
Hyderabad,29000,Diesel,Automatic,First,5,5700000.0,17.9,201.15,2
Delhi,44000,Diesel,Automatic,First,5,4400000.0,12.7,187.7,2
Hyderabad,108626,Diesel,Manual,First,5,365000.0,20.54,103.6,8
Hyderabad,71791,Petrol,Manual,First,5,205000.0,14.0,35.0,7
Kochi,91931,Petrol,Manual,First,5,313000.0,18.5,86.8,7
Hyderabad,158000,Diesel,Manual,Second,7,150000.0,14.07,83.1,19
Pune,91183,Diesel,Manual,First,5,285000.0,18.0,75.0,7
Delhi,65000,Petrol,Manual,First,5,265000.0,18.9,67.1,7
Hyderabad,88428,Diesel,Manual,First,7,1060000.0,16.0,140.0,4
Pune,138000,Diesel,Manual,Second,5,125000.0,17.1,70.0,11
Mumbai,18000,Petrol,Manual,First,7,825000.0,16.02,93.7,1
Mumbai,60000,Petrol,Automatic,First,5,445000.0,11.7,177.6,8
Kolkata,48000,Diesel,Manual,First,5,370000.0,19.3,73.9,7
Hyderabad,160000,Diesel,Manual,First,5,280000.0,17.8,68.0,10
Kolkata,40000,Petrol,Manual,First,5,180000.0,17.7,78.0,11
Kochi,51495,Diesel,Automatic,First,5,2195000.0,17.68,174.33,5
Mumbai,30000,Diesel,Automatic,First,4,4900000.0,9.52,313.0,8
Coimbatore,97430,Diesel,Automatic,First,7,6267000.0,14.75,245.0,2
Pune,42496,CNG,Manual,First,5,140000.0,26.3,67.1,11
Pune,83000,Diesel,Manual,First,5,550000.0,23.0,90.0,7
Bangalore,37000,Petrol,Automatic,Third,5,295000.0,16.95,78.9,10
Kochi,28503,Petrol,Automatic,First,5,686000.0,19.0,88.7,3
Hyderabad,76496,Diesel,Manual,First,5,615000.0,25.2,74.0,4
Pune,79152,Petrol,Manual,Second,5,330000.0,18.5,82.85,8
Kolkata,32000,Petrol,Manual,First,5,255000.0,16.47,73.9,8
Ahmedabad,35000,Petrol,Manual,First,5,150000.0,19.7,46.3,10
Chennai,105000,Petrol,Automatic,Second,5,250000.0,11.3,125.0,15
Chennai,56000,Petrol,Manual,Second,5,140000.0,19.7,46.3,13
Pune,73000,Diesel,Manual,First,5,340000.0,21.12,88.8,7
Pune,38000,Petrol,Manual,First,5,225000.0,19.7,46.3,7
Kolkata,775000,Diesel,Automatic,First,5,750000.0,19.3,141.0,6
Kolkata,80000,Petrol,Automatic,First,5,280000.0,11.3,125.0,11
Coimbatore,24973,Petrol,Manual,First,5,766000.0,18.6,81.83,3
Chennai,45000,Diesel,Manual,First,5,715000.0,24.3,88.5,3
Delhi,87430,Petrol,Manual,First,5,350000.0,17.0,118.0,9
Hyderabad,133944,Diesel,Manual,Second,5,350000.0,18.0,75.0,5
Kolkata,57000,Diesel,Manual,First,5,345000.0,25.8,98.6,6
Coimbatore,27904,Petrol,Manual,First,5,355000.0,21.1,55.2,3
Kochi,30717,Diesel,Automatic,Second,5,2599000.0,21.76,190.0,4
Bangalore,80000,Diesel,Manual,First,5,525000.0,22.32,126.32,7
Ahmedabad,47304,Diesel,Manual,First,5,290000.0,21.02,88.8,6
Jaipur,100000,Petrol,Automatic,First,5,205000.0,14.45,227.0,14
Pune,30000,Petrol,Manual,First,5,375000.0,24.07,67.1,2
Mumbai,68000,Diesel,Manual,First,5,675000.0,22.7,89.84,5
Kolkata,21000,Petrol,Manual,Second,5,95000.0,18.0,62.0,8
Hyderabad,21000,Diesel,Automatic,First,5,5200000.0,19.33,177.0,2
Jaipur,119000,Petrol,Manual,Third,5,391000.0,13.1,141.1,12
Kochi,13747,Petrol,Automatic,First,5,2730000.0,14.67,177.46,0
Chennai,620000,Petrol,Manual,First,5,270000.0,20.36,78.9,10
Delhi,70000,Diesel,Manual,First,5,350000.0,22.9,74.0,6
Mumbai,18000,Petrol,Automatic,First,5,620000.0,18.5,83.14,3
Chennai,83000,Diesel,Manual,First,5,275000.0,23.08,63.1,8
Mumbai,130000,Diesel,Manual,First,5,325000.0,23.4,74.0,4
Pune,63400,Diesel,Manual,First,5,325000.0,17.8,67.0,7
Kolkata,65000,Petrol,Manual,First,5,65000.0,17.3,60.0,16
Pune,8350,Petrol,Manual,First,5,3500000.0,13.8,192.0,2
Kolkata,45000,Diesel,Manual,First,5,325000.0,23.59,67.05,5
Kolkata,26200,Petrol,Manual,First,5,290000.0,24.7,47.3,1
Bangalore,11000,Petrol,Manual,Third,5,290000.0,18.9,47.0,8
Bangalore,90000,Diesel,Automatic,Second,5,1775000.0,11.0,235.0,10
Mumbai,74000,Petrol,Automatic,Second,5,825000.0,11.07,179.5,4
Coimbatore,37081,Petrol,Automatic,First,5,577000.0,18.9,82.0,4
Hyderabad,39000,Diesel,Manual,First,5,949000.0,24.3,88.5,2
Mumbai,99000,Diesel,Automatic,Third,7,1295000.0,12.07,241.4,11
Chennai,38000,Diesel,Automatic,First,5,2000000.0,17.9,136.0,4
Chennai,72000,Petrol,Manual,Third,4,100000.0,16.1,37.0,12
Chennai,93000,Diesel,Manual,Second,5,710000.0,20.45,83.8,4
Mumbai,5900,Diesel,Manual,First,5,1650000.0,21.43,87.2,2
Chennai,25000,Diesel,Manual,First,5,2600000.0,15.8,170.0,5
Hyderabad,68000,Diesel,Manual,Second,5,320000.0,21.1,73.9,9
